"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2018","46,793.58","46,876.47","47,045.19","46,727.22","141.07M","-0.14%"
"Mar 26, 2018","46,858.46","46,621.05","46,938.93","45,895.10","152.46M","0.74%"
"Mar 23, 2018","46,515.93","47,510.59","47,638.50","46,450.68","226.18M","-1.78%"
"Mar 22, 2018","47,361.04","47,457.93","47,566.49","47,152.46","180.01M","-0.34%"
"Mar 21, 2018","47,521.84","47,078.86","47,606.38","46,896.78","251.16M","0.95%"
"Mar 20, 2018","47,076.51","47,342.38","47,360.51","46,987.31","210.50M","-0.84%"
"Mar 16, 2018","47,477.58","47,833.39","47,920.38","47,365.20","645.61M","-0.71%"
"Mar 15, 2018","47,817.05","48,107.86","48,508.26","47,778.92","148.71M","-0.70%"
"Mar 14, 2018","48,156.44","48,572.49","48,608.30","48,096.81","134.50M","-0.82%"
"Mar 13, 2018","48,557.01","48,652.99","48,896.67","48,471.26","186.90M","-0.23%"
"Mar 12, 2018","48,671.29","48,592.85","48,983.93","48,521.98","160.79M","0.24%"
"Mar 09, 2018","48,556.45","48,242.62","48,809.32","48,208.75","162.62M","0.66%"
"Mar 08, 2018","48,240.00","47,710.21","48,285.77","47,696.32","166.79M","1.21%"
"Mar 07, 2018","47,662.12","47,815.70","47,831.92","47,529.77","173.03M","-0.46%"
"Mar 06, 2018","47,884.63","47,825.47","48,233.35","47,617.75","176.24M","0.34%"
"Mar 05, 2018","47,720.91","47,628.81","47,827.40","47,217.98","153.08M","0.36%"
"Mar 02, 2018","47,548.10","47,513.44","47,683.49","47,034.82","140.15M","-0.11%"
"Mar 01, 2018","47,599.42","47,470.67","47,800.56","47,157.11","186.23M","0.34%"
"Feb 28, 2018","47,437.93","48,055.39","48,062.13","47,231.79","276.73M","-1.11%"
"Feb 27, 2018","47,970.19","48,481.90","48,532.55","47,886.36","167.33M","-1.02%"
"Feb 26, 2018","48,463.44","48,662.29","48,713.99","48,240.32","146.54M","-0.37%"
"Feb 23, 2018","48,643.43","49,176.31","49,176.31","48,488.18","122.44M","-0.67%"
"Feb 22, 2018","48,969.64","48,552.29","49,086.63","48,538.90","180.20M","0.89%"
"Feb 21, 2018","48,535.59","48,749.05","48,930.70","48,431.97","152.63M","-0.31%"
"Feb 20, 2018","48,685.19","48,913.12","48,955.16","48,492.19","145.27M","-0.50%"
"Feb 19, 2018","48,928.48","48,886.97","49,198.14","48,820.53","17.14M","0.09%"
"Feb 16, 2018","48,882.78","48,831.25","49,378.25","48,621.12","135.87M","0.15%"
"Feb 15, 2018","48,808.39","48,547.85","48,984.22","48,378.02","196.89M","0.84%"
"Feb 14, 2018","48,400.75","47,871.59","48,560.26","47,758.96","156.70M","0.99%"
"Feb 13, 2018","47,926.73","47,892.47","47,995.86","47,675.48","136.95M","0.20%"
"Feb 12, 2018","47,830.49","47,950.63","48,234.74","47,504.60","140.37M","0.07%"
"Feb 09, 2018","47,799.09","47,998.80","48,139.85","46,985.81","187.47M","-0.13%"
"Feb 08, 2018","47,862.10","49,054.75","49,054.75","47,726.13","260.88M","-2.28%"
"Feb 07, 2018","48,976.45","49,247.64","49,504.98","48,853.69","191.36M","-0.67%"
"Feb 06, 2018","49,304.94","49,023.33","49,709.92","48,681.96","249.45M","-2.16%"
"Feb 02, 2018","50,395.83","50,388.00","50,513.31","49,900.47","141.40M","-0.39%"
"Feb 01, 2018","50,591.15","50,425.84","50,926.96","50,420.76","178.40M","0.27%"
"Jan 31, 2018","50,456.17","50,385.95","50,566.66","50,127.01","199.87M","0.15%"
"Jan 30, 2018","50,382.86","50,461.54","50,556.41","49,928.62","135.25M","-0.50%"
"Jan 29, 2018","50,636.32","51,081.47","51,121.23","50,520.28","157.83M","-0.84%"
"Jan 26, 2018","51,065.49","50,772.37","51,107.51","50,340.13","207.90M","0.57%"
"Jan 25, 2018","50,777.90","50,821.83","51,100.03","50,625.56","217.70M","0.06%"
"Jan 24, 2018","50,746.93","50,178.18","50,879.61","50,145.41","209.36M","0.97%"
"Jan 23, 2018","50,260.25","50,030.56","50,306.88","49,884.91","169.11M","0.57%"
"Jan 22, 2018","49,974.48","49,711.51","50,034.50","49,709.20","160.70M","0.56%"
"Jan 19, 2018","49,695.56","49,883.64","49,987.73","49,660.01","170.29M","-0.43%"
"Jan 18, 2018","49,911.97","49,681.18","49,958.33","49,620.16","132.01M","0.36%"
"Jan 17, 2018","49,732.30","49,499.23","49,804.96","49,450.85","169.44M","0.49%"
"Jan 16, 2018","49,491.72","49,292.38","49,612.22","49,290.12","160.83M","0.21%"
"Jan 15, 2018","49,387.28","49,183.59","49,455.31","49,121.85","27.70M","0.51%"
"Jan 12, 2018","49,135.91","48,764.91","49,429.03","48,521.61","175.40M","0.69%"
"Jan 11, 2018","48,799.39","48,840.16","49,026.05","48,408.75","203.71M","0.03%"
"Jan 10, 2018","48,785.25","49,666.23","49,741.02","48,722.27","178.89M","-1.84%"
"Jan 09, 2018","49,701.37","50,002.03","50,162.75","49,543.21","209.33M","-0.59%"
"Jan 08, 2018","49,995.57","49,916.57","50,233.62","49,891.07","150.48M","0.22%"
"Jan 05, 2018","49,887.74","49,929.52","50,079.03","49,712.54","156.15M","0.29%"
"Jan 04, 2018","49,744.62","49,800.36","50,128.47","49,704.25","182.74M","-0.08%"
"Jan 03, 2018","49,782.23","50,093.31","50,093.31","49,735.91","145.27M","-0.50%"
"Jan 02, 2018","50,033.95","49,376.26","50,083.02","49,328.60","106.59M","1.38%"
"Dec 29, 2017","49,354.42","48,880.39","49,388.98","48,874.16","88.57M","1.01%"
"Dec 28, 2017","48,861.94","48,659.43","48,999.50","48,640.11","67.28M","0.43%"
"Dec 27, 2017","48,652.56","48,470.87","48,810.87","48,425.71","68.56M","0.42%"
"Dec 26, 2017","48,451.33","48,473.31","48,801.28","48,198.17","69.96M","0.13%"
"Dec 22, 2017","48,387.93","48,429.97","48,590.57","48,232.84","103.49M","-0.24%"
"Dec 21, 2017","48,503.31","48,418.09","48,767.24","48,402.32","132.49M","0.23%"
"Dec 20, 2017","48,390.39","48,449.24","48,536.73","48,191.28","186.69M","-0.03%"
"Dec 19, 2017","48,403.03","48,636.52","48,792.24","48,368.90","234.46M","-0.48%"
"Dec 18, 2017","48,634.54","48,082.82","48,733.58","48,071.02","259.22M","1.15%"
"Dec 15, 2017","48,081.55","48,244.50","48,360.42","47,930.81","480.35M","-0.29%"
"Dec 14, 2017","48,222.38","48,297.30","48,537.02","48,091.40","300.40M","-0.11%"
"Dec 13, 2017","48,276.72","47,831.58","48,316.97","47,826.15","334.48M","1.21%"
"Dec 11, 2017","47,699.04","47,407.73","47,843.55","47,407.73","140.91M","0.27%"
"Dec 08, 2017","47,572.86","47,012.03","47,632.96","47,012.03","179.40M","1.25%"
"Dec 07, 2017","46,987.01","47,016.28","47,276.87","46,949.80","200.49M","0.03%"
"Dec 06, 2017","46,973.30","47,465.41","47,465.41","46,933.29","196.36M","-1.03%"
"Dec 05, 2017","47,462.79","47,228.10","47,525.64","47,014.11","132.56M","0.64%"
"Dec 04, 2017","47,161.32","47,289.47","47,514.91","46,993.75","148.58M","-0.22%"
"Dec 01, 2017","47,265.31","47,098.36","47,401.51","46,936.60","187.07M","0.37%"
"Nov 30, 2017","47,092.44","47,618.33","47,639.88","47,003.07","372.68M","-1.11%"
"Nov 29, 2017","47,622.93","47,298.31","47,681.89","46,960.89","215.14M","0.83%"
"Nov 28, 2017","47,229.16","47,312.31","47,494.20","47,108.77","197.56M","-0.10%"
"Nov 27, 2017","47,275.32","47,874.70","47,887.12","47,221.47","171.28M","-1.39%"
"Nov 24, 2017","47,941.88","48,199.82","48,210.96","47,662.34","65.53M","-0.40%"
"Nov 23, 2017","48,136.24","48,208.92","48,246.94","48,036.39","23.85M","-0.13%"
"Nov 22, 2017","48,196.89","48,263.13","48,453.19","47,933.19","179.68M","0.02%"
"Nov 21, 2017","48,185.71","47,831.62","48,258.83","47,750.73","195.43M","0.69%"
"Nov 17, 2017","47,857.14","47,780.36","48,107.72","47,597.77","150.28M","0.23%"
"Nov 16, 2017","47,747.69","47,736.59","48,025.86","47,711.52","145.08M","0.12%"
"Nov 15, 2017","47,690.80","47,853.83","47,958.12","47,471.13","172.36M","-0.38%"
"Nov 14, 2017","47,873.65","47,999.61","48,044.60","47,659.14","162.42M","-0.27%"
"Nov 13, 2017","48,002.43","48,013.10","48,103.08","47,662.38","243.74M","-0.05%"
"Nov 10, 2017","48,028.30","48,659.33","48,717.36","47,972.79","208.18M","-1.41%"
"Nov 09, 2017","48,713.51","48,731.88","48,927.45","48,633.77","183.59M","-0.25%"
"Nov 08, 2017","48,835.69","49,001.94","49,058.84","48,806.56","122.87M","-0.34%"
"Nov 07, 2017","49,004.52","48,946.13","49,276.47","48,879.49","208.90M","0.08%"
"Nov 06, 2017","48,967.01","48,623.41","49,061.43","48,281.12","225.24M","0.89%"
"Nov 03, 2017","48,534.84","48,334.87","48,584.22","47,824.97","229.67M","0.41%"
"Nov 01, 2017","48,334.45","48,700.16","48,829.83","48,261.08","199.05M","-0.60%"
"Oct 31, 2017","48,625.53","48,929.26","48,958.84","48,579.68","169.39M","-0.47%"
"Oct 30, 2017","48,855.27","49,250.79","49,252.55","48,779.04","123.61M","-0.72%"
"Oct 27, 2017","49,209.58","49,011.64","49,327.32","48,829.74","214.60M","0.45%"
"Oct 26, 2017","48,986.84","49,004.30","49,388.76","48,954.30","236.54M","0.23%"
"Oct 25, 2017","48,876.46","50,166.47","50,166.47","48,804.03","287.23M","-2.55%"
"Oct 24, 2017","50,157.22","49,612.85","50,194.74","49,612.85","191.97M","1.23%"
"Oct 23, 2017","49,548.13","50,033.55","50,109.71","49,509.56","149.24M","-0.88%"
"Oct 20, 2017","49,988.71","50,207.87","50,582.62","49,896.63","240.92M","-0.02%"
"Oct 19, 2017","50,000.25","49,914.15","50,057.01","49,760.76","162.69M","0.12%"
"Oct 18, 2017","49,938.98","50,112.50","50,135.82","49,887.18","200.52M","-0.40%"
"Oct 17, 2017","50,140.52","49,760.79","50,208.42","49,544.89","311.21M","0.84%"
"Oct 16, 2017","49,721.01","50,029.82","50,230.04","49,673.22","204.50M","-0.52%"
"Oct 13, 2017","49,981.94","50,040.40","50,224.98","49,914.96","218.95M","0.04%"
"Oct 12, 2017","49,962.79","50,148.62","50,306.08","49,858.26","223.71M","-0.35%"
"Oct 11, 2017","50,139.68","50,011.50","50,257.65","49,904.88","214.34M","0.31%"
"Oct 10, 2017","49,982.94","50,141.12","50,230.44","49,888.40","180.84M","-0.18%"
"Oct 09, 2017","50,071.94","50,584.27","50,584.27","49,980.51","136.88M","-0.46%"
"Oct 06, 2017","50,302.96","50,513.17","50,616.65","50,257.55","133.53M","-0.35%"
"Oct 05, 2017","50,480.92","50,631.36","50,909.48","50,425.09","148.57M","-0.17%"
"Oct 04, 2017","50,565.29","50,653.53","50,750.30","50,511.04","118.43M","-0.10%"
"Oct 03, 2017","50,615.29","50,593.54","50,741.49","50,453.76","126.89M","0.23%"
"Oct 02, 2017","50,501.16","50,499.17","50,629.16","50,350.87","127.55M","0.31%"
"Sep 29, 2017","50,346.06","50,064.82","50,605.60","50,064.82","154.23M","0.42%"
"Sep 28, 2017","50,137.00","50,063.83","50,228.13","49,920.21","160.20M","-0.06%"
"Sep 27, 2017","50,169.13","50,336.32","50,549.79","49,778.80","173.00M","-0.38%"
"Sep 26, 2017","50,359.47","50,462.58","50,472.38","50,261.27","160.19M","-0.02%"
"Sep 25, 2017","50,368.17","50,302.13","50,436.07","50,161.29","124.01M","0.11%"
"Sep 22, 2017","50,313.51","50,487.93","50,541.50","50,282.19","96.39M","-0.46%"
"Sep 21, 2017","50,545.75","50,385.34","50,636.33","50,156.76","138.99M","0.36%"
"Sep 20, 2017","50,363.95","50,312.79","50,430.38","50,173.52","120.25M","0.20%"
"Sep 19, 2017","50,265.46","50,327.32","50,364.83","50,117.71","103.03M","0.01%"
"Sep 18, 2017","50,258.42","49,953.14","50,326.56","49,953.14","148.53M","0.67%"
"Sep 15, 2017","49,921.84","50,058.62","50,134.44","49,779.09","514.88M","-0.37%"
"Sep 14, 2017","50,107.86","50,094.90","50,225.12","50,017.37","155.30M","-0.11%"
"Sep 13, 2017","50,164.88","50,519.93","50,542.45","50,121.64","200.87M","-0.63%"
"Sep 12, 2017","50,480.96","50,385.80","50,699.50","50,385.50","144.87M","0.24%"
"Sep 11, 2017","50,359.32","50,135.92","50,443.47","50,133.54","131.79M","0.55%"
"Sep 08, 2017","50,083.80","50,192.73","50,308.54","49,865.79","137.99M","-0.33%"
"Sep 07, 2017","50,249.12","50,533.54","50,700.97","50,094.95","153.70M","-0.53%"
"Sep 06, 2017","50,515.60","50,341.86","50,664.66","50,232.91","182.52M","0.43%"
"Sep 05, 2017","50,301.39","50,947.67","50,969.74","50,257.74","153.96M","-1.03%"
"Sep 04, 2017","50,825.77","51,015.91","51,041.89","50,771.58","16.59M","-0.50%"
"Sep 01, 2017","51,080.85","51,271.32","51,370.82","51,001.30","121.79M","-0.25%"
"Aug 31, 2017","51,210.48","51,155.59","51,232.49","51,034.27","230.99M","0.03%"
"Aug 30, 2017","51,193.52","51,312.90","51,350.08","51,003.93","205.90M","-0.23%"
"Aug 29, 2017","51,313.66","51,200.62","51,345.90","51,054.57","145.43M","0.09%"
"Aug 28, 2017","51,266.72","51,429.62","51,588.72","51,025.20","126.45M","-0.21%"
"Aug 25, 2017","51,373.23","51,521.18","51,620.84","51,331.44","132.05M","-0.19%"
"Aug 24, 2017","51,470.06","51,205.24","51,558.56","51,205.24","185.90M","0.37%"
"Aug 23, 2017","51,280.17","51,276.14","51,332.44","51,160.92","142.81M","-0.10%"
"Aug 22, 2017","51,332.98","51,194.24","51,448.64","51,194.24","157.04M","0.18%"
"Aug 21, 2017","51,241.11","51,131.55","51,277.68","50,985.51","112.92M","0.32%"
"Aug 18, 2017","51,075.46","50,930.50","51,254.29","50,836.42","140.02M","0.16%"
"Aug 17, 2017","50,994.18","51,176.66","51,203.36","50,889.50","140.38M","-0.32%"
"Aug 16, 2017","51,156.67","51,331.90","51,431.91","50,983.44","204.80M","-0.36%"
"Aug 15, 2017","51,339.29","51,225.54","51,362.08","51,151.87","138.30M","0.34%"
"Aug 14, 2017","51,167.47","50,680.43","51,231.33","50,680.43","144.31M","1.03%"
"Aug 11, 2017","50,645.10","50,895.92","50,912.76","50,605.88","205.26M","-0.51%"
"Aug 10, 2017","50,906.84","51,235.27","51,248.01","50,618.23","184.94M","-0.65%"
"Aug 09, 2017","51,237.50","51,263.01","51,395.04","51,081.06","128.89M","-0.18%"
"Aug 08, 2017","51,328.76","51,331.79","51,722.06","51,305.77","151.54M","-0.12%"
"Aug 07, 2017","51,389.27","51,300.22","51,572.55","51,300.22","137.27M","0.12%"
"Aug 04, 2017","51,328.29","51,240.67","51,415.61","51,181.71","160.13M","0.07%"
"Aug 03, 2017","51,293.07","51,198.14","51,343.28","51,088.97","180.71M","0.18%"
"Aug 02, 2017","51,200.13","51,153.86","51,484.77","51,105.47","185.31M","0.01%"
"Aug 01, 2017","51,195.01","51,282.19","51,432.77","51,141.27","649.07M","0.36%"
"Jul 31, 2017","51,011.87","51,219.58","51,335.99","50,926.13","220.35M","-0.39%"
"Jul 28, 2017","51,213.60","51,228.42","51,320.51","50,895.54","171.08M","-0.09%"
"Jul 27, 2017","51,257.36","51,545.92","51,660.78","51,172.84","158.69M","-0.66%"
"Jul 26, 2017","51,600.26","51,537.30","51,765.94","51,476.45","198.20M","-0.22%"
"Jul 25, 2017","51,713.38","51,590.48","51,772.37","51,524.23","148.40M","0.09%"
"Jul 24, 2017","51,665.65","51,526.39","51,743.62","51,205.54","128.87M","0.20%"
"Jul 21, 2017","51,564.62","51,180.04","51,641.38","51,165.61","153.69M","0.82%"
"Jul 20, 2017","51,144.14","51,163.21","51,264.51","51,082.68","103.58M","0.11%"
"Jul 19, 2017","51,086.93","51,172.91","51,363.99","50,890.25","173.05M","-0.03%"
"Jul 18, 2017","51,099.71","51,228.36","51,230.70","50,990.67","156.04M","-0.45%"
"Jul 17, 2017","51,332.29","51,141.63","51,364.19","50,950.62","137.17M","0.33%"
"Jul 14, 2017","51,162.23","50,966.87","51,298.10","50,824.13","156.84M","0.38%"
"Jul 13, 2017","50,968.76","50,820.85","51,014.14","50,704.20","258.96M","0.31%"
"Jul 12, 2017","50,809.77","50,847.95","51,103.85","50,440.70","314.86M","0.59%"
"Jul 11, 2017","50,510.23","50,545.51","50,869.10","50,344.78","242.79M","-0.21%"
"Jul 10, 2017","50,616.81","50,058.70","50,661.75","49,975.73","247.90M","1.11%"
"Jul 07, 2017","50,059.02","50,042.53","50,141.18","49,696.97","151.50M","0.09%"
"Jul 06, 2017","50,015.67","50,268.95","50,274.91","49,884.18","178.01M","-0.57%"
"Jul 05, 2017","50,300.81","50,065.52","50,339.63","50,022.15","149.65M","0.52%"
"Jul 04, 2017","50,041.58","49,999.07","50,236.44","49,925.31","36.06M","-0.13%"
"Jul 03, 2017","50,109.16","49,831.53","50,312.02","49,790.53","79.97M","0.50%"
"Jun 30, 2017","49,857.49","49,255.08","49,901.51","49,204.76","160.43M","1.34%"
"Jun 29, 2017","49,198.12","49,380.50","49,428.55","49,001.78","124.12M","-0.29%"
"Jun 28, 2017","49,340.11","49,129.56","49,391.38","49,067.78","141.96M","0.51%"
"Jun 27, 2017","49,087.74","49,179.01","49,207.87","48,944.09","149.86M","-0.16%"
"Jun 26, 2017","49,165.67","48,806.04","49,267.68","48,770.98","135.73M","0.38%"
"Jun 23, 2017","48,980.78","48,938.38","49,139.06","48,873.85","148.04M","-0.07%"
"Jun 22, 2017","49,017.43","48,933.08","49,053.00","48,827.56","106.90M","0.07%"
"Jun 21, 2017","48,983.45","48,958.71","49,203.64","48,895.36","171.78M","-0.10%"
"Jun 20, 2017","49,033.05","49,209.62","49,226.76","48,937.66","147.57M","-0.28%"
"Jun 19, 2017","49,169.57","49,231.61","49,473.67","48,935.15","197.81M","-0.10%"
"Jun 16, 2017","49,221.03","49,134.10","49,348.77","48,870.10","612.36M","0.17%"
"Jun 15, 2017","49,139.70","49,233.21","49,233.85","48,861.25","137.20M","-0.31%"
"Jun 14, 2017","49,291.03","49,121.20","49,378.69","49,022.54","169.95M","0.54%"
"Jun 13, 2017","49,026.83","49,183.47","49,203.36","48,978.17","135.84M","-0.21%"
"Jun 12, 2017","49,128.76","49,073.66","49,241.30","48,952.75","137.32M","0.10%"
"Jun 09, 2017","49,081.73","49,046.86","49,277.32","48,993.26","156.51M","-0.01%"
"Jun 08, 2017","49,087.46","49,302.66","49,327.41","49,018.96","148.78M","-0.38%"
"Jun 07, 2017","49,274.97","49,194.22","49,352.78","49,030.24","169.61M","0.11%"
"Jun 06, 2017","49,218.62","49,566.33","49,566.33","49,177.54","140.94M","-0.75%"
"Jun 05, 2017","49,592.49","49,244.27","49,627.76","49,120.67","131.65M","0.56%"
"Jun 02, 2017","49,317.38","49,100.82","49,323.72","48,979.59","128.67M","0.44%"
"Jun 01, 2017","49,101.64","48,795.89","49,224.46","48,774.91","158.60M","0.64%"
"May 31, 2017","48,788.44","49,275.63","49,423.41","48,749.96","336.95M","-0.99%"
"May 30, 2017","49,277.95","49,452.20","49,634.11","49,089.09","103.29M","-0.35%"
"May 29, 2017","49,450.48","49,676.03","49,701.28","49,332.55","30.74M","-0.45%"
"May 26, 2017","49,674.92","49,411.73","49,741.81","49,195.27","140.81M","0.53%"
"May 25, 2017","49,410.92","49,502.26","49,696.99","49,319.91","136.32M","-0.17%"
"May 24, 2017","49,494.40","49,045.14","49,581.99","49,045.14","158.36M","0.92%"
"May 23, 2017","49,042.52","48,945.98","49,119.90","48,771.77","146.38M","0.20%"
"May 22, 2017","48,943.46","49,056.73","49,415.89","48,793.24","165.74M","-0.25%"
"May 19, 2017","49,067.47","48,322.24","49,172.65","48,274.62","207.22M","1.54%"
"May 18, 2017","48,322.24","48,759.26","48,759.26","48,146.00","188.15M","-0.87%"
"May 17, 2017","48,747.95","49,457.90","49,460.97","48,731.54","217.47M","-1.44%"
"May 16, 2017","49,459.62","49,680.10","49,817.31","49,404.63","231.52M","-0.44%"
"May 15, 2017","49,678.96","49,433.95","49,733.50","49,338.73","166.44M","0.51%"
"May 12, 2017","49,426.08","49,531.87","49,566.95","49,228.54","161.49M","-0.21%"
"May 11, 2017","49,530.53","49,930.73","49,937.07","49,458.06","189.15M","-0.80%"
"May 10, 2017","49,930.54","49,941.49","50,154.33","49,850.10","183.32M","-0.02%"
"May 09, 2017","49,939.47","49,503.04","50,026.56","49,503.04","169.03M","0.88%"
"May 08, 2017","49,505.86","49,491.42","49,582.49","49,346.09","112.00M","0.04%"
"May 05, 2017","49,485.67","48,994.68","49,485.74","48,963.88","154.78M","1.00%"
"May 04, 2017","48,998.11","49,098.06","49,312.07","48,867.37","162.57M","-0.21%"
"May 03, 2017","49,099.98","49,540.30","49,757.96","49,070.31","150.61M","-0.99%"
"May 02, 2017","49,588.84","49,260.12","49,646.61","49,220.77","188.06M","0.66%"
"Apr 28, 2017","49,261.33","49,444.98","49,478.26","49,151.90","140.42M","-0.36%"
"Apr 27, 2017","49,440.96","49,552.32","49,649.47","49,184.12","242.50M","-0.25%"
"Apr 26, 2017","49,565.16","49,807.85","50,147.04","49,130.50","254.57M","-0.49%"
"Apr 25, 2017","49,808.05","49,411.34","49,821.47","49,411.34","232.99M","0.80%"
"Apr 24, 2017","49,413.26","48,969.69","49,504.59","48,969.69","127.09M","0.91%"
"Apr 21, 2017","48,967.83","49,131.74","49,131.74","48,727.74","110.08M","-0.36%"
"Apr 20, 2017","49,144.96","48,882.27","49,145.91","48,741.05","171.83M","0.55%"
"Apr 19, 2017","48,873.84","48,765.55","48,975.44","48,727.68","168.76M","0.23%"
"Apr 18, 2017","48,762.53","49,010.22","49,012.59","48,335.98","124.84M","-0.51%"
"Apr 17, 2017","49,011.56","48,969.04","49,222.96","48,844.01","115.73M","0.11%"
"Apr 12, 2017","48,955.82","49,607.29","49,661.08","48,871.89","129.96M","-1.37%"
"Apr 11, 2017","49,637.93","49,540.76","49,753.57","49,102.80","115.48M","0.20%"
"Apr 10, 2017","49,540.26","49,339.65","49,590.85","49,163.31","84.46M","0.40%"
"Apr 07, 2017","49,343.64","49,012.22","49,393.25","48,887.08","120.46M","0.68%"
"Apr 06, 2017","49,012.42","49,207.77","49,313.73","48,838.85","136.58M","-0.40%"
"Apr 05, 2017","49,207.61","49,339.24","49,560.90","49,118.21","221.54M","-0.27%"
"Apr 04, 2017","49,342.77","48,799.09","49,342.80","48,791.43","194.46M","1.07%"
"Apr 03, 2017","48,819.07","48,549.23","49,008.81","48,461.27","112.93M","0.57%"
"Mar 31, 2017","48,541.56","48,863.13","48,925.44","48,541.56","250.13M","-0.66%"
"Mar 30, 2017","48,863.30","49,032.09","49,068.48","48,719.63","146.15M","-0.35%"
"Mar 29, 2017","49,036.52","49,335.81","49,335.81","48,941.48","189.36M","-0.61%"
"Mar 28, 2017","49,339.24","49,310.77","49,523.94","49,194.72","167.51M","0.05%"
"Mar 27, 2017","49,312.99","49,082.89","49,312.99","48,743.81","181.24M","0.47%"
